City,Country,Weekend/Weekday,Price,Room_Type,Room_Shared,Room_Private,Person_Capacity,Superhost?,Multiple_Rooms?,Business?,cleanliness_rating,guest_satisfaction_overall,bedrooms,Distance from City Center,Nearest Metro (km),attr_index,attr_index_norm,rest_index,rest_index_norm,longitude,latitude
Barcelona,Spain,Weekend,251.1229548,Private room,FALSE,TRUE,2,TRUE,1,0,9,95,1,1.097963883,0.161216274,575.4861217,22.2201842,1351.098177,29.67908757,2.15971,41.39327
Barcelona,Spain,Weekend,309.7726162,Private room,FALSE,TRUE,2,TRUE,1,0,10,97,1,1.09213722,0.431863618,664.8553092,25.67083181,1643.838371,36.10960609,2.179,41.38
Barcelona,Spain,Weekend,155.0026765,Private room,FALSE,TRUE,2,FALSE,0,0,10,95,1,1.937573956,0.348126362,363.4777544,14.03429614,719.1450788,15.79720122,2.15725,41.37257
Barcelona,Spain,Weekend,196.662555,Private room,FALSE,TRUE,2,TRUE,1,0,10,97,1,2.121727091,0.221555368,771.6624258,29.79477801,667.3455472,14.65933955,2.17676,41.40556
Barcelona,Spain,Weekend,289.2917821,Private room,FALSE,TRUE,2,FALSE,1,0,8,88,1,0.951684855,0.350678052,805.8496153,31.11478491,1866.905435,41.00964004,2.17739,41.38061
Barcelona,Spain,Weekend,127.307003,Private room,FALSE,TRUE,2,FALSE,0,0,9,84,1,0.881309972,0.113580418,531.1107662,20.50680044,1081.906986,23.76586153,2.17913,41.39112
Barcelona,Spain,Weekend,333.2790281,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,0.971102401,0.301900485,413.6043313,15.9697412,1083.894461,23.80951968,2.15877,41.38494
Barcelona,Spain,Weekend,232.5040147,Private room,FALSE,TRUE,2,TRUE,0,0,10,97,1,1.837729915,0.479395167,410.1086811,15.83477011,895.8405214,19.67860644,2.158,41.401
Barcelona,Spain,Weekend,438.4760398,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,92,1,1.756961529,0.367592483,357.5864084,13.80682447,820.197099,18.01697459,2.16311,41.37219
Barcelona,Spain,Weekend,958.1772058,Entire home/apt,FALSE,FALSE,2,TRUE,0,1,10,96,2,1.061604447,0.380852114,494.7675078,19.10354524,1247.098013,27.39455339,2.15864,41.39139
